date,year,month,series_id,indicator,value,latest,month_to_month_change
2026-01-01,2026,1,CES0500000003,Average Hourly Earnings,37.15,False,0.12999999999999545
2026-02-01,2026,2,CES0500000003,Average Hourly Earnings,37.27,False,0.12000000000000455
2026-03-01,2026,3,CES0500000003,Average Hourly Earnings,37.35,False,0.0799999999999983
2026-04-01,2026,4,CES0500000003,Average Hourly Earnings,37.41,False,0.05999999999999517
2026-05-01,2026,5,CES0500000003,Average Hourly Earnings,37.51,False,0.10000000000000142
2026-06-01,2026,6,CES0500000003,Average Hourly Earnings,37.64,true,0.13000000000000256
2020-01-01,2020,1,CES0500000002,Average Weekly Hours,34.3,False,
2020-02-01,2020,2,CES0500000002,Average Weekly Hours,34.3,False,0.0
2020-03-01,2020,3,CES0500000002,Average Weekly Hours,34.1,False,-0.19999999999999574
2020-04-01,2020,4,CES0500000002,Average Weekly Hours,34.2,False,0.10000000000000142
2020-05-01,2020,5,CES0500000002,Average Weekly Hours,34.7,False,0.5
2020-06-01,2020,6,CES0500000002,Average Weekly Hours,34.6,False,-0.10000000000000142
2020-07-01,2020,7,CES0500000002,Average Weekly Hours,34.6,False,0.0
2020-08-01,2020,8,CES0500000002,Average Weekly Hours,34.7,False,0.10000000000000142
2020-09-01,2020,9,CES0500000002,Average Weekly Hours,34.8,False,0.09999999999999432
2020-10-01,2020,10,CES0500000002,Average Weekly Hours,34.8,False,0.0
2020-11-01,2020,11,CES0500000002,Average Weekly Hours,34.8,False,0.0
2020-12-01,2020,12,CES0500000002,Average Weekly Hours,34.8,False,0.0
2021-01-01,2021,1,CES0500000002,Average Weekly Hours,35.0,False,0.20000000000000284
2021-02-01,2021,2,CES0500000002,Average Weekly Hours,34.6,False,-0.3999999999999986
2021-03-01,2021,3,CES0500000002,Average Weekly Hours,34.9,False,0.29999999999999716
2021-04-01,2021,4,CES0500000002,Average Weekly Hours,34.9,False,0.0
2021-05-01,2021,5,CES0500000002,Average Weekly Hours,34.9,False,0.0
2021-06-01,2021,6,CES0500000002,Average Weekly Hours,34.8,False,-0.10000000000000142
2021-07-01,2021,7,CES0500000002,Average Weekly Hours,34.8,False,0.0
2021-08-01,2021,8,CES0500000002,Average Weekly Hours,34.8,False,0.0
2021-09-01,2021,9,CES0500000002,Average Weekly Hours,34.8,False,0.0
2021-10-01,2021,10,CES0500000002,Average Weekly Hours,34.7,False,-0.09999999999999432
2021-11-01,2021,11,CES0500000002,Average Weekly Hours,34.8,False,0.09999999999999432
2021-12-01,2021,12,CES0500000002,Average Weekly Hours,34.9,False,0.10000000000000142
2022-01-01,2022,1,CES0500000002,Average Weekly Hours,34.5,False,-0.3999999999999986
2022-02-01,2022,2,CES0500000002,Average Weekly Hours,34.7,False,0.20000000000000284
2022-03-01,2022,3,CES0500000002,Average Weekly Hours,34.7,False,0.0
2022-04-01,2022,4,CES0500000002,Average Weekly Hours,34.6,False,-0.10000000000000142
2022-05-01,2022,5,CES0500000002,Average Weekly Hours,34.6,False,0.0
2022-06-01,2022,6,CES0500000002,Average Weekly Hours,34.6,False,0.0
2022-07-01,2022,7,CES0500000002,Average Weekly Hours,34.6,False,0.0
2022-08-01,2022,8,CES0500000002,Average Weekly Hours,34.5,False,-0.10000000000000142
2022-09-01,2022,9,CES0500000002,Average Weekly Hours,34.6,False,0.10000000000000142
2022-10-01,2022,10,CES0500000002,Average Weekly Hours,34.6,False,0.0
2022-11-01,2022,11,CES0500000002,Average Weekly Hours,34.5,False,-0.10000000000000142
2022-12-01,2022,12,CES0500000002,Average Weekly Hours,34.4,False,-0.10000000000000142
2023-01-01,2023,1,CES0500000002,Average Weekly Hours,34.6,False,0.20000000000000284
2023-02-01,2023,2,CES0500000002,Average Weekly Hours,34.5,False,-0.10000000000000142
2023-03-01,2023,3,CES0500000002,Average Weekly Hours,34.4,False,-0.10000000000000142
2023-04-01,2023,4,CES0500000002,Average Weekly Hours,34.4,False,0.0
2023-05-01,2023,5,CES0500000002,Average Weekly Hours,34.4,False,0.0
2023-06-01,2023,6,CES0500000002,Average Weekly Hours,34.4,False,0.0
2023-07-01,2023,7,CES0500000002,Average Weekly Hours,34.3,False,-0.10000000000000142
2023-08-01,2023,8,CES0500000002,Average Weekly Hours,34.4,False,0.10000000000000142
2023-09-01,2023,9,CES0500000002,Average Weekly Hours,34.4,False,0.0
2023-10-01,2023,10,CES0500000002,Average Weekly Hours,34.3,False,-0.10000000000000142
2023-11-01,2023,11,CES0500000002,Average Weekly Hours,34.4,False,0.10000000000000142
2023-12-01,2023,12,CES0500000002,Average Weekly Hours,34.4,False,0.0
2024-01-01,2024,1,CES0500000002,Average Weekly Hours,34.2,False,-0.19999999999999574
2024-02-01,2024,2,CES0500000002,Average Weekly Hours,34.4,False,0.19999999999999574
2024-03-01,2024,3,CES0500000002,Average Weekly Hours,34.4,False,0.0
2024-04-01,2024,4,CES0500000002,Average Weekly Hours,34.2,False,-0.19999999999999574
2024-05-01,2024,5,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2024-06-01,2024,6,CES0500000002,Average Weekly Hours,34.3,False,0.0
2024-07-01,2024,7,CES0500000002,Average Weekly Hours,34.2,False,-0.09999999999999432
2024-08-01,2024,8,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2024-09-01,2024,9,CES0500000002,Average Weekly Hours,34.3,False,0.0
2024-10-01,2024,10,CES0500000002,Average Weekly Hours,34.2,False,-0.09999999999999432
2024-11-01,2024,11,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2024-12-01,2024,12,CES0500000002,Average Weekly Hours,34.3,False,0.0
2025-01-01,2025,1,CES0500000002,Average Weekly Hours,34.1,False,-0.19999999999999574
2025-02-01,2025,2,CES0500000002,Average Weekly Hours,34.2,False,0.10000000000000142
2025-03-01,2025,3,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-04-01,2025,4,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2025-05-01,2025,5,CES0500000002,Average Weekly Hours,34.2,False,-0.09999999999999432
2025-06-01,2025,6,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-07-01,2025,7,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-08-01,2025,8,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-09-01,2025,9,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-10-01,2025,10,CES0500000002,Average Weekly Hours,34.2,False,0.0
2025-11-01,2025,11,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2025-12-01,2025,12,CES0500000002,Average Weekly Hours,34.2,False,-0.09999999999999432
2026-01-01,2026,1,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2026-02-01,2026,2,CES0500000002,Average Weekly Hours,34.3,False,0.0
2026-03-01,2026,3,CES0500000002,Average Weekly Hours,34.2,False,-0.09999999999999432
2026-04-01,2026,4,CES0500000002,Average Weekly Hours,34.3,False,0.09999999999999432
2026-05-01,2026,5,CES0500000002,Average Weekly Hours,34.3,False,0.0
2026-06-01,2026,6,CES0500000002,Average Weekly Hours,34.3,true,0.0
2020-01-01,2020,1,CES6562000001,Healthcare Employment,20724.7,False,
2020-02-01,2020,2,CES6562000001,Healthcare Employment,20771.0,False,46.29999999999927
2020-03-01,2020,3,CES6562000001,Healthcare Employment,20655.7,False,-115.29999999999927
2020-04-01,2020,4,CES6562000001,Healthcare Employment,18485.0,False,-2170.7000000000007
2020-05-01,2020,5,CES6562000001,Healthcare Employment,18864.3,False,379.2999999999993
2020-06-01,2020,6,CES6562000001,Healthcare Employment,19344.5,False,480.2000000000007
2020-07-01,2020,7,CES6562000001,Healthcare Employment,19525.4,False,180.90000000000146
2020-08-01,2020,8,CES6562000001,Healthcare Employment,19653.2,False,127.79999999999927
2020-09-01,2020,9,CES6562000001,Healthcare Employment,19766.3,False,113.09999999999854
2020-10-01,2020,10,CES6562000001,Healthcare Employment,19853.3,False,87.0
2020-11-01,2020,11,CES6562000001,Healthcare Employment,19909.2,False,55.900000000001455
2020-12-01,2020,12,CES6562000001,Healthcare Employment,19966.8,False,57.599999999998545
2021-01-01,2021,1,CES6562000001,Healthcare Employment,19903.6,False,-63.20000000000073
2021-02-01,2021,2,CES6562000001,Healthcare Employment,19942.8,False,39.20000000000073
2021-03-01,2021,3,CES6562000001,Healthcare Employment,20023.5,False,80.70000000000073
2021-04-01,2021,4,CES6562000001,Healthcare Employment,20066.0,False,42.5
2021-05-01,2021,5,CES6562000001,Healthcare Employment,20075.6,False,9.599999999998545
2021-06-01,2021,6,CES6562000001,Healthcare Employment,20069.8,False,-5.799999999999272
2021-07-01,2021,7,CES6562000001,Healthcare Employment,20077.8,False,8.0
2021-08-01,2021,8,CES6562000001,Healthcare Employment,20076.5,False,-1.2999999999992724
2021-09-01,2021,9,CES6562000001,Healthcare Employment,20083.8,False,7.299999999999272
2021-10-01,2021,10,CES6562000001,Healthcare Employment,20119.1,False,35.29999999999927
2021-11-01,2021,11,CES6562000001,Healthcare Employment,20149.5,False,30.400000000001455
2021-12-01,2021,12,CES6562000001,Healthcare Employment,20183.4,False,33.900000000001455
2022-01-01,2022,1,CES6562000001,Healthcare Employment,20160.2,False,-23.200000000000728
2022-02-01,2022,2,CES6562000001,Healthcare Employment,20256.3,False,96.09999999999854
2022-03-01,2022,3,CES6562000001,Healthcare Employment,20316.5,False,60.20000000000073
2022-04-01,2022,4,CES6562000001,Healthcare Employment,20380.8,False,64.29999999999927
2022-05-01,2022,5,CES6562000001,Healthcare Employment,20434.5,False,53.70000000000073
2022-06-01,2022,6,CES6562000001,Healthcare Employment,20513.3,False,78.79999999999927
2022-07-01,2022,7,CES6562000001,Healthcare Employment,20616.7,False,103.40000000000146
2022-08-01,2022,8,CES6562000001,Healthcare Employment,20684.8,False,68.09999999999854
2022-09-01,2022,9,CES6562000001,Healthcare Employment,20766.3,False,81.5
2022-10-01,2022,10,CES6562000001,Healthcare Employment,20855.0,False,88.70000000000073
2022-11-01,2022,11,CES6562000001,Healthcare Employment,20931.1,False,76.09999999999854
2022-12-01,2022,12,CES6562000001,Healthcare Employment,21017.7,False,86.60000000000218
2023-01-01,2023,1,CES6562000001,Healthcare Employment,21103.6,False,85.89999999999782
2023-02-01,2023,2,CES6562000001,Healthcare Employment,21170.1,False,66.5
2023-03-01,2023,3,CES6562000001,Healthcare Employment,21240.9,False,70.80000000000291
2023-04-01,2023,4,CES6562000001,Healthcare Employment,21309.4,False,68.5
2023-05-01,2023,5,CES6562000001,Healthcare Employment,21382.4,False,73.0
2023-06-01,2023,6,CES6562000001,Healthcare Employment,21464.2,False,81.79999999999927
2023-07-01,2023,7,CES6562000001,Healthcare Employment,21576.6,False,112.39999999999782
2023-08-01,2023,8,CES6562000001,Healthcare Employment,21676.7,False,100.10000000000218
2023-09-01,2023,9,CES6562000001,Healthcare Employment,21761.7,False,85.0
2023-10-01,2023,10,CES6562000001,Healthcare Employment,21839.2,False,77.5
2023-11-01,2023,11,CES6562000001,Healthcare Employment,21945.4,False,106.20000000000073
2023-12-01,2023,12,CES6562000001,Healthcare Employment,22018.7,False,73.29999999999927
2024-01-01,2024,1,CES6562000001,Healthcare Employment,22095.6,False,76.89999999999782
2024-02-01,2024,2,CES6562000001,Healthcare Employment,22191.2,False,95.60000000000218
2024-03-01,2024,3,CES6562000001,Healthcare Employment,22276.6,False,85.39999999999782
2024-04-01,2024,4,CES6562000001,Healthcare Employment,22359.2,False,82.60000000000218
2024-05-01,2024,5,CES6562000001,Healthcare Employment,22424.6,False,65.39999999999782
2024-06-01,2024,6,CES6562000001,Healthcare Employment,22493.7,False,69.10000000000218
2024-07-01,2024,7,CES6562000001,Healthcare Employment,22541.9,False,48.20000000000073
2024-08-01,2024,8,CES6562000001,Healthcare Employment,22586.7,False,44.79999999999927
2024-09-01,2024,9,CES6562000001,Healthcare Employment,22673.6,False,86.89999999999782
2024-10-01,2024,10,CES6562000001,Healthcare Employment,22754.8,False,81.20000000000073
2024-11-01,2024,11,CES6562000001,Healthcare Employment,22831.6,False,76.79999999999927
2024-12-01,2024,12,CES6562000001,Healthcare Employment,22901.4,False,69.80000000000291
2025-01-01,2025,1,CES6562000001,Healthcare Employment,22960.4,False,59.0
2025-02-01,2025,2,CES6562000001,Healthcare Employment,23008.3,False,47.89999999999782
2025-03-01,2025,3,CES6562000001,Healthcare Employment,23076.0,False,67.70000000000073
2025-04-01,2025,4,CES6562000001,Healthcare Employment,23152.0,False,76.0
2025-05-01,2025,5,CES6562000001,Healthcare Employment,23217.0,False,65.0
2025-06-01,2025,6,CES6562000001,Healthcare Employment,23277.5,False,60.5
2025-07-01,2025,7,CES6562000001,Healthcare Employment,23360.1,False,82.59999999999854
2025-08-01,2025,8,CES6562000001,Healthcare Employment,23382.9,False,22.80000000000291
2025-09-01,2025,9,CES6562000001,Healthcare Employment,23438.2,False,55.29999999999927
2025-10-01,2025,10,CES6562000001,Healthcare Employment,23485.8,False,47.599999999998545
2025-11-01,2025,11,CES6562000001,Healthcare Employment,23545.7,False,59.900000000001455
2025-12-01,2025,12,CES6562000001,Healthcare Employment,23587.5,False,41.79999999999927
2026-01-01,2026,1,CES6562000001,Healthcare Employment,23694.4,False,106.90000000000146
2026-02-01,2026,2,CES6562000001,Healthcare Employment,23664.0,False,-30.400000000001455
2026-03-01,2026,3,CES6562000001,Healthcare Employment,23756.7,False,92.70000000000073
2026-04-01,2026,4,CES6562000001,Healthcare Employment,23813.8,False,57.099999999998545
2026-05-01,2026,5,CES6562000001,Healthcare Employment,23859.7,False,45.900000000001455
2026-06-01,2026,6,CES6562000001,Healthcare Employment,23906.3,true,46.599999999998545
2020-01-01,2020,1,LNS11300000,Labor Force Participation Rate,63.3,False,
2020-02-01,2020,2,LNS11300000,Labor Force Participation Rate,63.3,False,0.0
2020-03-01,2020,3,LNS11300000,Labor Force Participation Rate,62.6,False,-0.6999999999999957
2020-04-01,2020,4,LNS11300000,Labor Force Participation Rate,60.1,False,-2.5
2020-05-01,2020,5,LNS11300000,Labor Force Participation Rate,60.8,False,0.6999999999999957
2020-06-01,2020,6,LNS11300000,Labor Force Participation Rate,61.5,False,0.7000000000000028
2020-07-01,2020,7,LNS11300000,Labor Force Participation Rate,61.5,False,0.0
2020-08-01,2020,8,LNS11300000,Labor Force Participation Rate,61.7,False,0.20000000000000284
2020-09-01,2020,9,LNS11300000,Labor Force Participation Rate,61.4,False,-0.30000000000000426
2020-10-01,2020,10,LNS11300000,Labor Force Participation Rate,61.7,False,0.30000000000000426
2020-11-01,2020,11,LNS11300000,Labor Force Participation Rate,61.5,False,-0.20000000000000284
2020-12-01,2020,12,LNS11300000,Labor Force Participation Rate,61.5,False,0.0
2021-01-01,2021,1,LNS11300000,Labor Force Participation Rate,61.4,False,-0.10000000000000142
2021-02-01,2021,2,LNS11300000,Labor Force Participation Rate,61.4,False,0.0
2021-03-01,2021,3,LNS11300000,Labor Force Participation Rate,61.5,False,0.10000000000000142
2021-04-01,2021,4,LNS11300000,Labor Force Participation Rate,61.6,False,0.10000000000000142
2021-05-01,2021,5,LNS11300000,Labor Force Participation Rate,61.6,False,0.0
2021-06-01,2021,6,LNS11300000,Labor Force Participation Rate,61.7,False,0.10000000000000142
2021-07-01,2021,7,LNS11300000,Labor Force Participation Rate,61.8,False,0.09999999999999432
2021-08-01,2021,8,LNS11300000,Labor Force Participation Rate,61.7,False,-0.09999999999999432
2021-09-01,2021,9,LNS11300000,Labor Force Participation Rate,61.7,False,0.0
2021-10-01,2021,10,LNS11300000,Labor Force Participation Rate,61.8,False,0.09999999999999432
2021-11-01,2021,11,LNS11300000,Labor Force Participation Rate,61.9,False,0.10000000000000142
2021-12-01,2021,12,LNS11300000,Labor Force Participation Rate,62.0,False,0.10000000000000142
2022-01-01,2022,1,LNS11300000,Labor Force Participation Rate,62.2,False,0.20000000000000284
2022-02-01,2022,2,LNS11300000,Labor Force Participation Rate,62.3,False,0.09999999999999432
2022-03-01,2022,3,LNS11300000,Labor Force Participation Rate,62.4,False,0.10000000000000142
2022-04-01,2022,4,LNS11300000,Labor Force Participation Rate,62.2,False,-0.19999999999999574
2022-05-01,2022,5,LNS11300000,Labor Force Participation Rate,62.3,False,0.09999999999999432
2022-06-01,2022,6,LNS11300000,Labor Force Participation Rate,62.2,False,-0.09999999999999432
2022-07-01,2022,7,LNS11300000,Labor Force Participation Rate,62.1,False,-0.10000000000000142
2022-08-01,2022,8,LNS11300000,Labor Force Participation Rate,62.3,False,0.19999999999999574
2022-09-01,2022,9,LNS11300000,Labor Force Participation Rate,62.2,False,-0.09999999999999432
2022-10-01,2022,10,LNS11300000,Labor Force Participation Rate,62.2,False,0.0
2022-11-01,2022,11,LNS11300000,Labor Force Participation Rate,62.1,False,-0.10000000000000142
2022-12-01,2022,12,LNS11300000,Labor Force Participation Rate,62.3,False,0.19999999999999574
2023-01-01,2023,1,LNS11300000,Labor Force Participation Rate,62.4,False,0.10000000000000142
2023-02-01,2023,2,LNS11300000,Labor Force Participation Rate,62.5,False,0.10000000000000142
2023-03-01,2023,3,LNS11300000,Labor Force Participation Rate,62.6,False,0.10000000000000142
2023-04-01,2023,4,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2023-05-01,2023,5,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2023-06-01,2023,6,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2023-07-01,2023,7,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2023-08-01,2023,8,LNS11300000,Labor Force Participation Rate,62.8,False,0.19999999999999574
2023-09-01,2023,9,LNS11300000,Labor Force Participation Rate,62.7,False,-0.09999999999999432
2023-10-01,2023,10,LNS11300000,Labor Force Participation Rate,62.6,False,-0.10000000000000142
2023-11-01,2023,11,LNS11300000,Labor Force Participation Rate,62.8,False,0.19999999999999574
2023-12-01,2023,12,LNS11300000,Labor Force Participation Rate,62.5,False,-0.29999999999999716
2024-01-01,2024,1,LNS11300000,Labor Force Participation Rate,62.5,False,0.0
2024-02-01,2024,2,LNS11300000,Labor Force Participation Rate,62.6,False,0.10000000000000142
2024-03-01,2024,3,LNS11300000,Labor Force Participation Rate,62.7,False,0.10000000000000142
2024-04-01,2024,4,LNS11300000,Labor Force Participation Rate,62.6,False,-0.10000000000000142
2024-05-01,2024,5,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2024-06-01,2024,6,LNS11300000,Labor Force Participation Rate,62.6,False,0.0
2024-07-01,2024,7,LNS11300000,Labor Force Participation Rate,62.7,False,0.10000000000000142
2024-08-01,2024,8,LNS11300000,Labor Force Participation Rate,62.7,False,0.0
2024-09-01,2024,9,LNS11300000,Labor Force Participation Rate,62.7,False,0.0
2024-10-01,2024,10,LNS11300000,Labor Force Participation Rate,62.5,False,-0.20000000000000284
2024-11-01,2024,11,LNS11300000,Labor Force Participation Rate,62.4,False,-0.10000000000000142
2024-12-01,2024,12,LNS11300000,Labor Force Participation Rate,62.5,False,0.10000000000000142
2025-01-01,2025,1,LNS11300000,Labor Force Participation Rate,62.6,False,0.10000000000000142
2025-02-01,2025,2,LNS11300000,Labor Force Participation Rate,62.5,False,-0.10000000000000142
2025-03-01,2025,3,LNS11300000,Labor Force Participation Rate,62.5,False,0.0
2025-04-01,2025,4,LNS11300000,Labor Force Participation Rate,62.6,False,0.10000000000000142
2025-05-01,2025,5,LNS11300000,Labor Force Participation Rate,62.4,False,-0.20000000000000284
2025-06-01,2025,6,LNS11300000,Labor Force Participation Rate,62.3,False,-0.10000000000000142
2025-07-01,2025,7,LNS11300000,Labor Force Participation Rate,62.2,False,-0.09999999999999432
2025-08-01,2025,8,LNS11300000,Labor Force Participation Rate,62.3,False,0.09999999999999432
2025-09-01,2025,9,LNS11300000,Labor Force Participation Rate,62.5,False,0.20000000000000284
2025-11-01,2025,11,LNS11300000,Labor Force Participation Rate,62.5,False,0.0
2025-12-01,2025,12,LNS11300000,Labor Force Participation Rate,62.4,False,-0.10000000000000142
2026-01-01,2026,1,LNS11300000,Labor Force Participation Rate,62.1,False,-0.29999999999999716
2026-02-01,2026,2,LNS11300000,Labor Force Participation Rate,62.0,False,-0.10000000000000142
2026-03-01,2026,3,LNS11300000,Labor Force Participation Rate,61.9,False,-0.10000000000000142
2026-04-01,2026,4,LNS11300000,Labor Force Participation Rate,61.8,False,-0.10000000000000142
2026-05-01,2026,5,LNS11300000,Labor Force Participation Rate,61.8,False,0.0
2026-06-01,2026,6,LNS11300000,Labor Force Participation Rate,61.5,true,-0.29999999999999716
2020-01-01,2020,1,CES0000000001,Total Nonfarm Employment,152031.0,False,
2020-02-01,2020,2,CES0000000001,Total Nonfarm Employment,152293.0,False,262.0
2020-03-01,2020,3,CES0000000001,Total Nonfarm Employment,150895.0,False,-1398.0
2020-04-01,2020,4,CES0000000001,Total Nonfarm Employment,130426.0,False,-20469.0
2020-05-01,2020,5,CES0000000001,Total Nonfarm Employment,133040.0,False,2614.0
2020-06-01,2020,6,CES0000000001,Total Nonfarm Employment,137671.0,False,4631.0
2020-07-01,2020,7,CES0000000001,Total Nonfarm Employment,139255.0,False,1584.0
2020-08-01,2020,8,CES0000000001,Total Nonfarm Employment,140821.0,False,1566.0
2020-09-01,2020,9,CES0000000001,Total Nonfarm Employment,141770.0,False,949.0
